,timestamp,elapsed,message_type,instance_id,instance_type,processor_a_cpu,processor_b_cpu,processor_c_cpu,processor_a_mem,processor_b_mem,processor_c_mem
1303,1717037312,3716945,text,c,medium-gpu,,,,,,
1304,1717037312,7440922,text,a,large-cpu,,,,,,
1305,1717037312,14517011,text,c,medium-gpu,,,,,,
1306,1717037312,15875988,text,a,large-cpu,,,,,,
1307,1717037312,10949883,text,c,medium-gpu,,,,,,
1308,1717037312,101733122,text,b,medium-cpu,,,,,,
1309,1717037312,15627225,text,a,large-cpu,,,,,,
1310,1717037312,7873797,text,b,medium-cpu,,,,,,
1311,1717037312,7042763,text,c,medium-gpu,,,,,,
1312,1717037312,5934277,text,a,large-cpu,,,,,,
1313,1717037312,11961985,text,c,medium-gpu,,,,,,
1314,1717037312,991645,text,a,large-cpu,,,,,,
1315,1717037312,204999043,text,b,medium-cpu,,,,,,
1316,1717037313,7098871,text,c,medium-gpu,,,,,,
1317,1717037312,105483840,text,b,medium-cpu,,,,,,
1318,1717037313,6271114,text,a,large-cpu,,,,,,
1319,1717037313,4676222,text,b,medium-cpu,,,,,,
1320,1717037313,11324603,text,c,medium-gpu,,,,,,
1321,1717037313,7397717,text,a,large-cpu,,,,,,
1322,1717037313,9595554,text,b,medium-cpu,,,,,,
1323,1717037313,20929778,text,c,medium-gpu,,,,,,
1324,1717037313,12641386,text,a,large-cpu,,,,,,
1325,1717037313,11890336,text,b,medium-cpu,,,,,,
1326,1717037313,13108387,text,c,medium-gpu,,,,,,
1327,1717037312,1504089312,image,b,medium-cpu,,,,,,
1328,1717037313,3085080,text,a,large-cpu,,,,,,
1329,1717037313,9589891,text,b,medium-cpu,,,,,,
1330,1717037313,19054459,text,c,medium-gpu,,,,,,
1331,1717037313,10303786,text,a,large-cpu,,,,,,
1332,1717037313,19938592,text,b,medium-cpu,,,,,,
1333,1717037314,9033962,text,c,medium-gpu,,,,,,
1334,1717037314,11046207,text,a,large-cpu,,,,,,
1335,1717037314,21076878,text,b,medium-cpu,,,,,,
1336,1717037314,2240044,text,c,medium-gpu,,,,,,
1337,1717037314,14174231,text,a,large-cpu,,,,,,
1338,1717037314,14135142,text,b,medium-cpu,,,,,,
1339,1717037314,15039126,text,c,medium-gpu,,,,,,
1340,1717037314,3426320,text,a,large-cpu,,,,,,
1341,1717037314,15282091,text,b,medium-cpu,,,,,,
1342,1717037314,6007035,text,c,medium-gpu,,,,,,
1343,1717037314,5726778,text,a,large-cpu,,,,,,
1344,1717037314,5102786,text,b,medium-cpu,,,,,,
1345,1717037314,14385319,text,c,medium-gpu,,,,,,
1346,1717037314,16795737,text,a,large-cpu,,,,,,
1347,1717037314,9674613,text,b,medium-cpu,,,,,,
1348,1717037315,8043178,text,c,medium-gpu,,,,,,
1349,1717037315,10644213,text,a,large-cpu,,,,,,
1350,1717037315,16457156,text,b,medium-cpu,,,,,,
1351,1717037315,16687089,text,c,medium-gpu,,,,,,
1352,1717037315,19994931,text,a,large-cpu,,,,,,
1353,1717037315,13164954,text,b,medium-cpu,,,,,,
1354,1717037315,5257841,text,c,medium-gpu,,,,,,
1355,1717037315,20172072,text,a,large-cpu,,,,,,
1356,1717037315,15107367,text,b,medium-cpu,,,,,,
1357,1717037315,11466873,text,c,medium-gpu,,,,,,
1358,1717037315,5931427,text,a,large-cpu,,,,,,
1359,1717037315,16493469,text,b,medium-cpu,,,,,,
1360,1717037315,2590463,text,c,medium-gpu,,,,,,
1361,1717037315,12316186,text,a,large-cpu,,,,,,
1362,1717037315,17198963,text,b,medium-cpu,,,,,,
1363,1717037316,5073067,text,c,medium-gpu,,,,,,
