1716859736,868324,text,b,medium-cpu
1716859736,1263023,text,a,large-cpu
1716859736,1455124,text,a,large-cpu
1716859736,1281721,text,a,large-cpu
1716859736,1394539,text,c,medium-gpu
1716859736,1245533,text,a,large-cpu
1716859736,1322147,text,a,large-cpu
1716859736,1186415,text,c,medium-gpu
1716859736,1259964,text,c,medium-gpu
1716859736,1401290,text,c,medium-gpu
1716859737,1266379,text,a,large-cpu
1716859737,1235077,text,c,medium-gpu
1716859737,1376630,text,a,large-cpu
1716859737,1299796,text,a,large-cpu
1716859737,1374821,text,a,large-cpu
1716859737,1259116,text,c,medium-gpu
1716859737,1262799,text,a,large-cpu
1716859737,604842,text,c,medium-gpu
1716859737,1255123,text,c,medium-gpu
1716859737,1260284,text,b,medium-cpu
1716859738,657105,text,c,medium-gpu
1716859738,1211564,text,c,medium-gpu
1716859738,1198482,text,c,medium-gpu
1716859738,635290,text,c,medium-gpu
1716859738,1223539,text,a,large-cpu
1716859738,1499777,text,c,medium-gpu
1716859738,1264125,text,b,medium-cpu
1716859738,813255,text,a,large-cpu
1716859738,1253737,text,b,medium-cpu
1716859738,1245278,text,b,medium-cpu
1716859739,602827,text,b,medium-cpu
1716859739,1290883,text,b,medium-cpu
1716859739,1225082,text,b,medium-cpu
1716859739,1284729,text,a,large-cpu
1716859739,1187841,text,c,medium-gpu
1716859739,1694486,text,b,medium-cpu
1716859739,1279436,text,a,large-cpu
1716859739,1164000,text,a,large-cpu
1716859739,1321674,text,a,large-cpu
1716859739,2003284,text,b,medium-cpu
1716859740,1435120,text,b,medium-cpu
1716859740,634055,text,b,medium-cpu
1716859740,1379055,text,a,large-cpu
1716859740,1314884,text,b,medium-cpu
1716859740,1432698,text,b,medium-cpu
1716859740,1505468,text,b,medium-cpu
1716859740,1333572,text,a,large-cpu
1716859740,1420033,text,b,medium-cpu
1716859740,1396342,text,c,medium-gpu
1716859740,1293285,text,b,medium-cpu
1716859741,473904,text,b,medium-cpu
1716859741,1280356,text,c,medium-gpu
1716859741,2213124,text,b,medium-cpu
1716859741,1497868,text,c,medium-gpu
1716859741,1201932,text,b,medium-cpu
1716859741,1284532,text,b,medium-cpu
1716859741,1405314,text,a,large-cpu
1716859741,799188,text,c,medium-gpu
1716859741,1319745,text,c,medium-gpu
1716859741,1356718,text,a,large-cpu
1716859742,1281733,text,a,large-cpu
1716859742,752790,text,c,medium-gpu
1716859742,1749664,text,c,medium-gpu
1716859742,1226043,text,a,large-cpu
1716859742,1420906,text,b,medium-cpu
1716859742,1324270,text,a,large-cpu
1716859742,1264110,text,b,medium-cpu
1716859742,1346353,text,c,medium-gpu
1716859742,49640029,text,b,medium-cpu
1716859742,1303980,text,a,large-cpu
1716859743,1297031,text,b,medium-cpu
1716859743,1244026,text,c,medium-gpu
1716859743,1361921,text,a,large-cpu
1716859743,1248848,text,b,medium-cpu
1716859743,1243302,text,b,medium-cpu
1716859743,1218153,text,c,medium-gpu
1716859743,531402,text,b,medium-cpu
1716859743,700407,text,b,medium-cpu
1716859743,1203214,text,c,medium-gpu
1716859743,1307978,text,a,large-cpu
1716859744,1359729,text,b,medium-cpu
1716859744,1293259,text,b,medium-cpu
1716859744,1267275,text,c,medium-gpu
1716859744,1198155,text,c,medium-gpu
1716859744,1274534,text,b,medium-cpu
1716859744,1154023,text,a,large-cpu
1716859744,1356677,text,b,medium-cpu
1716859744,1299106,text,a,large-cpu
1716859744,1291024,text,b,medium-cpu
1716859744,1253335,text,a,large-cpu
1716859745,1381854,text,a,large-cpu
1716859745,1641162,text,a,large-cpu
1716859745,1236178,text,a,large-cpu
1716859745,1416701,text,c,medium-gpu
1716859745,1341481,text,c,medium-gpu
1716859745,1468560,text,b,medium-cpu
1716859745,1297817,text,b,medium-cpu
